Deal Year,Target Company,Sector,Geography,Deal Value,Deal Type,Source,Source URL
2022,Embracer Group,Gaming/Technology,Sweden,$1 billion,Equity Investment (8% stake),Investment in major gaming holding company,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
2022,LIV Golf,Sports/Golf,Global,N/A,Official Launch (100%),LIV Golf tour officially launched,https://www.sportskeeda.com/golf/news-pif-reduce-international-investments-20-liv-golf-unaffected-reports
2022,Credit Suisse,Financial Services,Switzerland,$1.5 billion,Equity Investment,Investment in Swiss banking group,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
2022,Saudi Aramco,Energy,Saudi Arabia,N/A,Asset Transfer (4% stake),4% Aramco stake transferred directly to PIF,https://www.france24.com/en/live-news/20240307-saudi-says-8-aramco-stake-transferred-to-pif-wealth-fund-portfolio
2023,Saudi Aramco,Energy,Saudi Arabia,N/A,Asset Transfer (4% stake),4% stake transferred to Sanabil Investments (PIF-controlled),https://www.france24.com/en/live-news/20240307-saudi-says-8-aramco-stake-transferred-to-pif-wealth-fund-portfolio
2023,Rocco Forte Hotels,Hospitality/Luxury,Europe,£1.4 billion valuation,Acquisition (49% stake),Investment in luxury hotel group,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2023,LIV Golf/PGA Tour Merger,Sports/Golf,Global,Billions,Merger Announcement,Commercial business merger announced,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2023,Heathrow Airport,Infrastructure/Aviation,United Kingdom,N/A,Equity Investment (10% stake),Initial stake in major UK airport,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2023,Diriyah Gate Development,Tourism/Culture,Saudi Arabia,N/A,Giga-Project Designation (100%),Designated as 5th giga-project - cultural tourism,https://saudipedia.com/en/article/943/economy-and-business/companies/public-investment-fund-companies
2024,Saudi Aramco,Energy,Saudi Arabia,N/A,Asset Transfer (8% stake),Additional 8% to PIF entities (16% total combined),https://www.france24.com/en/live-news/20240307-saudi-says-8-aramco-stake-transferred-to-pif-wealth-fund-portfolio
2024,Heathrow Airport,Infrastructure/Aviation,United Kingdom,$4.12 billion,Equity Investment (15% total),Increased to 15% total stake in combined transaction,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2024,HOLON GmbH,Electric Vehicles/Tech,Germany,N/A,Equity Investment (38% stake),Autonomous electric shuttle company,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2024,ATP Tour & WTA Tour,Sports/Tennis,Global,$2 billion,Acquisition Offer,Offer to acquire both professional tennis tours,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2024,Lucid Motors,Electric Vehicles,United States,$1.5 billion,Follow-on Investment,Additional funding bringing total to ~$8B cumulative,https://en.wikipedia.org/wiki/Lucid_Motors
2024,Newcastle United F.C.,Sports/Football,United Kingdom,N/A,Stake Increase (85%),Increased stake from 80% to 85%,https://en.wikipedia.org/wiki/2021_takeover_of_Newcastle_United_F.C.
2025,Electronic Arts,Gaming/Technology,United States,$28.8 billion,Acquisition (Majority stake),Largest 2025 acquisition - majority stake in EA,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2025,Saudi Reinsurance Company,Insurance/Financial,Saudi Arabia,N/A,Equity Investment (23.08% stake),Capital increase participation in Saudi Re,https://gulfnews.com/world/gulf/saudi/saudi-arabias-public-investment-fund-named-worlds-most-active-swf-in-2025-1.500399307
2025,Lucid-Uber-Nuro Partnership,Electric Vehicles/Autonomy,United States,N/A,Strategic Partnership,20000 Lucid Gravity autonomous vehicles for Uber,https://en.wikipedia.org/wiki/Lucid_Motors
