Date,Fund,Counterparty,Sector,Geography,Instrument,Source
2025-02-10,PIF,Salesforce (LEAP 2025),AI Cloud Computing,Saudi Arabia,MOU ($500M Hyperforce),Arab News / LEAP
2025-02-10,PIF,Lenovo (via Alat),AI Infrastructure,Saudi Arabia,JV ($2B mfg. & regional HQ),Arab News / LEAP
2025-Q2,PIF,Arm Holdings,Semiconductors,US / UK,Stake (doubled holding),Bloomberg / Arab News (SEC 13F)
2025-Q1,PIF,ASML Holding,Semiconductor Equipment,Netherlands,Stake (options position),Bloomberg / Arab News (SEC 13F)
2025-Q2,PIF,Analog Devices,Semiconductors,US,Stake (new position),Bloomberg / Arab News (SEC 13F)
2025-05-13,PIF,NVIDIA (via HUMAIN),AI Chips,US / Saudi Arabia,"MOU (18,000 GB300 chips)",Reuters / Bloomberg / NVIDIA
2025-05-13,PIF,AMD (via HUMAIN),AI Chips,US / Saudi Arabia,"JV ($10B AI infra, 500MW)",Bloomberg / The National News
2025-05-01,PIF,HUMAIN launch (PIF subsidiary),AI Infrastructure,Saudi Arabia (Global),Fund (National AI champion),PIF Official / Reuters
2025-05-01,PIF,Qualcomm (via HUMAIN),Semiconductors,US / Saudi Arabia,MOU (Design center partnership),Bloomberg / Arab News
2025-10-28,PIF,Blackstone / AirTrunk (via HUMAIN),Data Centers,Saudi Arabia,JV ($3B data center campus),Bloomberg / Blackstone
2025-11-01,PIF,"NVIDIA (expanded, via HUMAIN)",AI Chips,US / Saudi Arabia,MOU (600K chips over 3 years),Reuters / Bloomberg
2025-11-19,PIF,AMD / Cisco (via HUMAIN),AI Infrastructure,US / Saudi Arabia (Global),JV (1GW AI infra by 2030),Bloomberg / Cisco Newsroom
2025-11-01,PIF,"AWS (via HUMAIN, expanded)",AI Cloud Computing,Saudi Arabia (Riyadh),MOU (150K NVIDIA GPUs in AI Zone),Bloomberg / Reuters
2023-11-01,ADIA,Landmark Dividend / DigitalBridge,Digital Infrastructure,US,Stake (40% acquisition),Bloomberg / DigitalBridge
2024-03-01,MGX/Mubadala,MGX launch (Mubadala + G42),AI Infrastructure,UAE (Global),Fund ($100B AI investment vehicle),Bloomberg / The National News
2024-09-17,MGX/Mubadala,BlackRock / Microsoft / GIP,AI Infrastructure,US (Global),"JV ($30B equity, $100B total GAIIP)",Bloomberg / Microsoft / BlackRock
2024-10-01,MGX/Mubadala,OpenAI,AI Models/Research,US,"Fund ($6.6B round, $157B val.)",Bloomberg / Reuters
2024-11-01,MGX/Mubadala,xAI (Elon Musk),AI Infrastructure,US,"Fund (Series C, $6B round)",Reuters / AGBI
2024-11-01,MGX/Mubadala,Databricks,AI/ML Platform,US,"Fund ($10B round, $62B val.)",Bloomberg / Global SWF
2024-11-11,ADIA,Qlik Technologies (with Thoma Bravo),AI/ML Platform,US / Sweden,"Stake (~$1B minority, $10B val.)",Bloomberg / The National News
2025-01-13,ADIA,AlphaGen / ArcLight Capital,Power Infrastructure,US,"Stake ($500M minority, 11GW)",Reuters / Arab News
2025-01-21,MGX/Mubadala,OpenAI / SoftBank / Oracle (Stargate),AI Infrastructure,US (Global),"JV ($500B AI infra, $7B MGX equity)",Reuters / Bloomberg / MEI
2025-03-19,MGX/Mubadala,NVIDIA / xAI (joined AIP),AI Infrastructure,US,"JV (AIP expansion with NVIDIA, xAI)",BlackRock / Bloomberg
2025-09-10,ADIA,Vantage Data Centers (with GIC),Data Centers,Asia-Pacific,Fund ($1.6B APAC platform),Bloomberg / The National News
2025-10-14,MGX/Mubadala,Aligned Data Centers (via AIP/GIP),Data Centers,US,"Stake ($40B acquisition, 100% equity)",Bloomberg / BlackRock
